coord0,coord1,coord2,coord3,coord4,coord5
-0.00024219113218278875,-14.778603179366684,-8.913283007084951,-26.26092749186703,-8.792452041145086,-11.896359639794333
-1.2773516578523954e-11,-8.23221760060954e-08,-35.64498898195765,-1.784641963006192e-07,-35.17004813909299,-1.428813966786716e-07
-5.023726657034916e-13,-0.5281181522392759,-6.789750708102851e-09,-2.1834372207581446e-08,-35.165928091312956,-34.609991087607774
-0.00024212159382595616,-20.891039843619673,-8.913658564880864,-26.25667684940606,-79.14117689608116,-5.920034304295729
-9.026853992230329e-11,-70.81767572078111,-35.64698532063276,-4.930869624118246e-08,-35.17203551559697,-1.0324798884773574
-0.00024205784881775613,-20.891530225186806,-80.20585634464015,-26.25508363785236,-8.794512239010876,-5.92210573775432
-2.3272820792220136e-12,-1.1598279202276774e-07,-2.1110925404316145e-08,-7.128158503567795e-08,-140.68361668347075,-6.45829288743607e-07
-0.00024232445223237978,-9.721078568277067,-8.908719823499231,-26.26677199617157,-8.790392084618006,-87.08170094902704
-0.00024224231001750384,-14.783143981382999,-80.20286182005017,-26.253030045438276,-8.793518479852125,-11.897462697459847
-0.00024225489473725945,-14.778190735144705,-8.908344369760442,-26.26252088071662,-79.13499642948254,-11.899295968891932
-2.7229481148498033e-11,-59.11908172024259,-6.229295003450615e-08,-1.212148270943317e-07,-35.16791535140809,-47.5928599194832
-0.000969356054404595,-0.5281424358174857,-2.649505857132648e-07,-105.0482617498036,-3.5264163497879124e-08,-34.59921546960062
-0.0009692169302421692,-1.2764184589027077e-07,-3.3365590648939103e-07,-105.0397601086681,-35.173653129697485,-1.2602092277287168e-08
-0.0009690893879509037,-9.218871113125857e-08,-35.65015152775169,-105.03657346339054,-2.5468138053251632e-08,-2.893337544025921e-07
-5.553995398848498e-11,-70.81677285953886,-9.764475365993654e-08,-4.434427840219342e-09,-140.68759145677538,-1.0333450608480266
-0.0009689502829267657,-0.5271822813984262,-35.650902607991696,-105.02807229524898,-35.17777362997299,-34.60686447697171
-8.903431261421005e-12,-48.47663714674188,-3.485297231164887e-08,-5.820315087950221e-07,-4.5096531754527585e-07,-163.3534470225349
