total energy
-232.48848781027908
-232.42760928342489
-232.4330923206368
-235.671426534229
-235.7088117108564
-235.78501830979025
-235.59526407291364
-235.875125544822
-235.8133926104002
-235.69405180715205
-235.7957876479209
-235.8085933564381
-235.77015969710905
-235.8095378309352
-238.8924900449583
-239.1247267185719
-239.31497660566595
