coord0,coord1,coord2,coord3,coord4,coord5
-1.7947423554125546e-12,-0.5280401869888695,-35.644237964013605,-5.928278840319565e-11,-2.417881860458325e-07,-34.60498318443995
-0.0002423756441504602,-20.89692900601849,-8.912284765666877,-26.258873670917005,-8.791458398395196,-5.92132751322041
-5.023726657034916e-13,-0.5281181522392759,-6.789750708102851e-09,-2.1834372207581446e-08,-35.165928091312956,-34.609991087607774
-0.0002424394309872823,-20.897419456699375,-8.90934239048365,-26.260466997458245,-79.13201538993201,-5.92339917289523
-0.0002423060793080642,-14.783556494718725,-8.91266030243216,-26.25462319468364,-79.13819574012177,-11.894526594578483
-0.0009692169302421692,-1.2764184589027077e-07,-3.3365590648939103e-07,-105.0397601086681,-35.173653129697485,-1.2602092277287168e-08
-2.3272820792220136e-12,-1.1598279202276774e-07,-2.1110925404316145e-08,-7.128158503567795e-08,-140.68361668347075,-6.45829288743607e-07
-5.280420227771649e-11,-59.11990664989506,-35.64623428165808,-3.713139481101925e-08,-1.0508266504849604e-07,-47.5869873468926
-0.00024252866491975407,-14.779144088729163,-80.19698626262725,-26.263282324310193,-8.790649690554202,-11.89974177109032
-0.00024246486634432778,-14.778731636959295,-8.910701719739881,-26.26168891236141,-79.12958909291991,-11.90267851753122
-2.7229481148498033e-11,-59.11908172024259,-6.229295003450615e-08,-1.212148270943317e-07,-35.16791535140809,-47.5928599194832
-0.00024252866491975407,-14.779144088729163,-80.19698626262725,-26.263282324310193,-8.790649690554202,-11.89974177109032
-0.00024205784881775613,-20.891530225186806,-80.20585634464015,-26.25508363785236,-8.794512239010876,-5.92210573775432
-3.161214804830799e-11,-5.4416928340385186e-08,-142.57648608161628,-3.3398498994439957e-07,-2.0835384658339074e-08,-2.2697538857549336e-09
-5.553995398848498e-11,-70.81677285953886,-9.764475365993654e-08,-4.434427840219342e-09,-140.68759145677538,-1.0333450608480266
-0.0009689502829267657,-0.5271822813984262,-35.650902607991696,-105.02807229524898,-35.17777362997299,-34.60686447697171
-8.903431261421005e-12,-48.47663714674188,-3.485297231164887e-08,-5.820315087950221e-07,-4.5096531754527585e-07,-163.3534470225349
