coord0,coord1,coord2,coord3,coord4,coord5
-3.1801993022098207,-7.933810824221207,-43.76862234410778,-7.729996742270801,-4.276070934189443,-3.070237912436171
-21.632678500891103,-0.29578483994267213,-5.881292077356099,-28.94890761429698,-0.2895267179330248,-5.794230659193155
-12.692282466213063,-17.43392649817564,-1.0612255829324,-16.984142077428658,-17.06472210376772,-1.0460507975787585
-41.350121049364155,-0.6639515197459166,-27.256818889999593,-45.176059995012785,-2.3256363819129047,-9.83803380866614
-56.529203717584444,-4.370906433831844,-3.116708545369134,-4.257643322602918,-9.886045093321613,-43.11944083659479
-56.25009226460091,-15.072392839559477,-1.5715651642329156,-4.345992022841608,-7.641358899233835,-36.71154740065142
-41.346432701492965,-46.375115367868275,-27.25587339599854,-0.6466877363618639,-2.3250625074056446,-9.838588377836375
-3.113249025262916,-8.058832911677964,-50.803762201262465,-9.706708971622017,-63.61956047488686,-5.106040910476085
-3.1791764911556712,-77.64777732321713,-43.76982048908195,-9.83987634132199,-4.275292762348742,-3.0699281202164794
-12.690239056041005,-103.43888460511988,-1.0610390267149952,-3.2254822547196897,-17.063167525688804,-1.045869974830781
-12.558176748296678,-17.619019791287315,-0.2686018133744364,-3.1494331024755655,-100.78689576031336,-2.3415483143137443
-3.1791764911556712,-77.64777732321713,-43.76982048908195,-9.83987634132199,-4.275292762348742,-3.0699281202164794
-32.723064368936235,-0.5686430994970401,-40.862951792447724,-26.763400589164746,-0.4914459058607528,-28.405176504919897
-8.245488662062693,-16.748893497379424,-101.42850488580179,-3.525460364828084,-6.76699912998698,-2.8148988736759155
-41.10410087669523,-46.676687883617916,-22.17304084665757,-25.92517845342377,-55.25151641546116,-6.912728454281062
-73.75701972313303,-6.793732193990377,-4.847770460367177,-6.621377796943357,-3.6286863617179046,-90.04075953613724
-0.4573216134682643,-2.442872960195735,-13.485711386280935,-2.378840210717109,-159.90611593946468,-32.37189541284083
