coord0,coord1,coord2,coord3,coord4,coord5
-21.457491292699675,-0.27222807721096476,-8.626130450068777,-0.2656654426755779,-28.83952000888914,-3.608765936049797
-21.630010752137814,-29.715957080116738,-5.881731284546632,-0.28807477740621923,-0.28972924966397295,-5.794656258891681
-12.692282466213063,-17.43392649817564,-1.0612255829324,-16.984142077428658,-17.06472210376772,-1.0460507975787585
-56.24579040251167,-4.463828893738094,-1.5713381382988048,-14.687600842996515,-7.640318635787594,-36.71261867316114
-21.454834368309577,-29.957458390211436,-8.626662361918312,-41.37798669877243,-28.837499041871236,-3.6091018166412976
-32.723064368936235,-0.5686430994970401,-40.862951792447724,-26.763400589164746,-0.4914459058607528,-28.405176504919897
-41.346432701492965,-46.375115367868275,-27.25587339599854,-0.6466877363618639,-2.3250625074056446,-9.838588377836375
-12.560209498609485,-3.231343793583907,-0.268695681331936,-17.160146054158083,-100.79067390795457,-2.341818871798819
-32.93932224303952,-0.5357918452457149,-34.58055857280541,-0.5220218644668372,-27.115856479243018,-34.07169318704862
-41.10777840020323,-0.7004659626691332,-22.173893635999615,-0.6813966190870717,-55.25431378871726,-6.91226360421785
-12.558176748296678,-17.619019791287315,-0.2686018133744364,-3.1494331024755655,-100.78689576031336,-2.3415483143137443
-21.46014838159372,-42.469337946277726,-8.625598554618339,-29.178551408539892,-28.84154104672046,-3.6084300710883666
-56.25009226460091,-15.072392839559477,-1.5715651642329156,-4.345992022841608,-7.641358899233835,-36.71154740065142
-32.726345631907556,-27.468198653266725,-40.86179411719026,-0.5532523472496786,-0.491709763068786,-28.404234201881895
-41.10410087669523,-46.676687883617916,-22.17304084665757,-25.92517845342377,-55.25151641546116,-6.912728454281062
-73.75701972313303,-6.793732193990377,-4.847770460367177,-6.621377796943357,-3.6286863617179046,-90.04075953613724
-0.4573216134682643,-2.442872960195735,-13.485711386280935,-2.378840210717109,-159.90611593946468,-32.37189541284083
