electronic energy
-336.9060061595445
-336.9959866318152
-337.0041156452203
-340.4002976478137
-340.3189916909731
-340.1937777119173
-340.5102689977242
-340.0672453071577
-340.1261756876571
-340.325617235964
-340.1683252477516
-340.1220831688082
-340.2090909088289
-340.1085762138162
-343.8270591344409
-343.4237521788356
-343.0858812964949
