coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,coord12,coord13,coord14,coord15,coord16,coord17,coord18,coord19,coord20,coord21,coord22,coord23
-0.025513931318863866,-1.1370060669792954,-10.664507133400106,-0.10427100697426354,-1.4462068812505173,-0.02810545930766109,-1.9627073972002204e-09,-0.5767976087614002,-0.5646974548283605,-0.16125014885169728,-0.2373904771982736,-0.10312488434464134,0.001602288880127588,-0.002593099609405223,-0.0021194160362427573,-0.07494585526454789,-7.03226771319943e-05,-0.3587201465291998,-0.003914151013825853,-0.011779211453506645,-0.06359847043027193,-0.1773484596549555,-0.06854374497260812,-0.10867808813932889
-0.41310051134158393,-2.283498626384644,-0.5092893091183258,-3.1913484913236934,-3.6792413997182916,-0.4765647603089765,-2.8491616880503554,-0.08144531660496587,-0.5266032335274393,-0.1408045080220921,-0.42809472099530294,-0.018626086526822714,0.017044468148289384,-0.013640232325072915,-0.010213789558720323,-0.05826130438131985,-0.0001555123456075497,-1.4901184524221056,-0.004586655041128403,-0.09522701909840026,-0.06363813786439178,-0.7468089284895989,-0.02746498389639268,-0.03892611761857388
-0.025509389298875296,-1.9731185418173525,-0.3680037642574973,-0.10421959114079977,-2.511801550389262,-0.3024931848636126,-4.137187052290377e-11,-0.8080712634413829,-0.14275175685452965,-3.856035730340128,-0.155033551013661,-0.004179685085581251,0.0013388380095446656,-0.0017381063032740251,-0.0020123233772411223,-0.0019564588320453553,-1.5074541485619024,-0.44977287166913915,-0.027628850438810023,-4.8469138960764024e-05,-1.3193478328896924e-09,-0.1773176592192135,-0.039748526447907634,-0.08957039740870955
-0.31465271157776825,-0.13525385273374274,-0.031408841780258906,-1.8974565272240256,-0.1052575433986534,-0.006946126954296905,-0.31670796118329175,-0.26956989189165936,-1.8891517015614374,-3.2221288050489014,-0.0015934253612722583,-0.2089781464621572,0.00320370859574116,-0.017116438562831154,-0.022276382132063656,-0.03277777374944658,-0.1217246950543616,-0.12364050418293733,-0.2254673591623061,-0.009476441061694199,-0.06362583578597567,-1.131380696776409,-0.002780764724006217,-0.10745547643939136
-0.10327381283163894,-2.215876387488801,-3.976905630562424,-0.7978756084964646,-0.24028281638814208,-0.3634712708218453,-0.07916840183783894,-0.505791550940098,-0.516255014291378,-0.2782538933622792,-2.169291721996489,-0.05560148025005429,0.06547190051420163,-0.056153534977084966,-0.014534089278734225,-0.002359410905498109,-0.04016411247334484,-0.7047337388920779,-0.001565732243176565,-0.07745310302688872,-0.14299815195709256,-0.1866339093972962,-0.16061989479975117,-0.3301812787723515
-0.006378684315187125,-0.06566688804447895,-0.02403917206228846,-0.026060992258654103,-0.5752407641333667,-0.023234500633461514,-1.9786895474614392,-0.07981277063361626,-0.013188656219869586,-0.4312019787084752,-0.05948036226602375,-0.0718130465599578,0.020133655285104742,-7.859312012611999e-05,-0.019048305048922652,-0.03892343314509691,-0.04565200082423377,-0.06573673790010592,-0.038244535500592015,-0.05846442947618927,-0.14306351633211575,-0.04435045232615733,-0.03451813722582866,-0.010775653176721233
-0.10574209936690301,-1.6813424073255148,-0.09296709098264719,-1.9264021003886416,-0.07037698052405912,-0.012693640069905577,-0.07919172596560242,-0.004895747766556687,-0.9738336657435143,-0.5358633532403468,-0.06634243183440701,-0.05321748350991626,0.0014674278483328765,-0.005869973943432027,-0.000713532155788379,-0.02527370255824243,-0.5496140855583049,-0.1330681337031437,-0.016705771723397524,-0.05327453511657184,-0.015893565749519462,-0.15041917926243847,-0.21990299826154816,-0.0017825488595732894
-0.059252305904975794,-2.9730689613885906,-0.023632590606863343,-0.9583642821766096,-3.988981398613874,-1.6819217549872245,-0.7121462600580867,-0.5402600071684187,-0.6479638964383595,-0.05405229319438718,-0.2407832218386579,-1.0719625895574285,0.02215736778767659,-0.048609827973607134,-0.028188627598791937,-0.048044972243460944,-0.7469558552137164,-0.15181248389454208,-0.03681783610502741,-0.02052132221350763,-0.015903882633903885,-0.03548652927824688,-0.05773468161044583,-0.0002175768267106373
-0.10450231159103412,-3.3699007467170703,-0.41491532537810616,-1.3013110003607649,-0.5355224638175234,-1.9514398138928444,-4.669512085073988e-12,-2.823502186465493,-0.2487898915907219,-0.10224542523168227,-0.308936884666219,-0.05857377859270983,0.032753716632997976,-7.593881067193024e-05,-0.005177182089465347,-0.02393344083514158,-0.2729187310488618,-0.26955196923990893,-0.0586805684296607,-0.13036910583536243,-0.2544213054116395,-0.000496004745062623,-0.03901730340799216,-0.18915685036642518
-0.10450438666670891,-6.2118759277774975,-1.3993656567159498,-1.3008319898599068,-0.1507632828298871,-0.03733995184030648,-0.31664985670601137,-0.20483118580375295,-0.22893296965637983,-0.016979654214868762,-0.03468046717574078,-0.8013349618208794,4.838529368192931e-05,-0.002496458319798963,-0.009848915675919499,-0.17355582175402204,-0.6022886482826462,-0.0016693223014185956,-0.07714813360614818,-0.002259931470688139,-0.0636153120747636,-0.0004914503153924853,-0.07705158525599287,-0.008916715878587205
-0.02612617140334175,-0.0398013841783224,-0.32308310804044754,-0.3255125558600651,-0.5022511585263568,-4.083963557691796,-0.7121586498138028,-0.14206693773826956,-1.2681533261425513,-1.0364874767609107,-1.6339171905302359,-0.45092514408862705,7.52963435699053e-05,-0.00040553963780523377,-3.6295595220296144e-05,-0.09105458931466766,-0.07000381319321887,-0.12365086962492211,-0.1312473607082427,-0.01648887307118698,-0.015929458831770903,-0.00011947289657565248,-0.17176300742173511,-0.27633538007204433
-0.0070020229862782085,-0.35337844916070393,-0.3113314366129514,-0.43073608854220974,-0.1552468443066046,-0.39710792429901537,-0.07911869507974564,-0.2486242848791192,-0.2077055568731629,-0.2159069802825243,-2.3098580113345673,-0.025349487046477732,0.12921440055156547,-0.0015610562019564768,-0.0005526296058066556,-0.0075593731981232004,-0.07791462732075335,-0.004263595241502064,-0.02041906397876374,-0.0043220113424784325,-0.14309861500883495,-0.3712457187758033,-0.2778723783281074,-0.07412026371296568
-5.618769577408606e-13,-3.7126139378356453,-0.21392568165249715,-2.7772376300541777e-11,-2.4589729767544187e-11,-6.564649255120521e-11,-1.266123935804208,-3.7796193400054983,-3.377902260849774,-0.026946948273725495,-1.228040598535201e-10,-9.073158787977456e-11,0.016160439726033662,-1.700205967384578e-13,-2.0136643417222613e-13,-0.22165374142179192,-0.019990029855188537,-2.141102228848445,-0.04518417852952032,-0.22147341155173866,-4.620913907594608e-11,-7.233169671811891e-13,-5.256007200057978e-13,-3.6664713117493386e-11
-0.235134794998283,-2.7230438890757744,-0.04158402297243513,-2.9269006773131507,-0.3664525248806859,-0.09390920363512344,-0.07912767636691172,-0.6880764808384318,-0.2511661439675787,-0.8427413290919551,-0.5640906752540406,-0.5092924418122526,2.950509476023383e-06,-0.023327318619275974,-0.05737756261110645,-0.013171400074514124,-0.12499980338720178,-0.014355612967572361,-0.03929143970957007,-0.06469026359516614,-0.14310159804241018,-0.0010909594221225718,-0.0007724679737123077,-0.21285969549594752
-0.31895408727311975,-1.253287490425279,-0.1616588599018876,-3.5054988774723306,-3.0782239727767458,-1.803287910508101e-07,-0.31654962524140995,-0.13980697092067004,-0.2853028355748663,-0.3130299626856187,-0.009040637300890638,-0.8930168359170396,7.070935649601657e-06,-0.04656220843556429,-0.015000523406458039,-0.5483130125408995,-0.23437485437330205,-0.010040815763160847,-0.0001495904977953349,-0.08322043446935788,-6.135409359158573e-10,-0.05934460720830082,-0.1697721365501623,-0.19131769287792288
-0.23328370363112003,-0.15871689606134426,-0.10948217576119271,-2.141796251304703,-0.050832264282980974,-0.043584780499785473,-8.220862110484114e-10,-1.4548784047023082,-0.12927750195540522,-0.04450954774201807,-0.0007643168055337747,-0.03369584451336093,0.00010810521911844397,-0.0020153380726639367,-0.016171233774598587,-0.034969594022585544,-0.005281395914773973,-0.07293454490821231,-0.10910617383527098,-0.02580778510232135,-2.4618490441227555e-08,-0.19645324916704043,-1.2342423094658455,-0.10593970590502014
-0.10450864312155558,-6.810812472041256,-0.17623461103906637,-1.300727319418719,-2.316038232547536,-0.3246046595322431,-0.3164368072456095,-0.5770022073228482,-2.6892257820403307,-0.4685496736881782,-0.571014135999653,-0.16891853437065596,0.0016021970559838522,-0.005668346756031249,-0.0009145399700680696,-0.07494589092826154,-0.4324509161931747,-0.013588501041571032,-0.012211462518516321,-0.00121606128529787,-0.25428008960317994,-0.0004902721613133295,-0.011037529403920998,-0.0402382130037417
-0.006687105275809202,-0.04309844764125763,-0.3904745718082509,-0.16711442861829331,-0.17986838288409376,-0.15074383868404082,-0.31654679369858274,-0.00889818613593036,-0.23215231290470784,-0.029962728197533487,-0.07912326576523544,-0.20550689278735473,0.02267177454480122,-0.0023645232202421412,-0.004458020653209361,-0.010911708882724452,-0.0363436883234001,-0.0714404254747383,-0.009620176934642418,-0.0031559218364486815,-2.2339051305773144e-09,-0.0397590200223753,-0.04204100192720477,-0.078953213075203
-0.006687009917579621,-0.5666326589639261,-0.37153365267797306,-0.16727284212487564,-0.8608023610805463,-1.6475228062887262,-0.3165714852885376,-3.0737565695256093,-0.020480437552483383,-0.3978533948563912,-0.2809557120765685,-0.3357063027792891,0.02371840841196167,-0.0009133870926964018,-0.005847705471004769,-0.015622304379093838,-0.1730826385017943,-0.0498559801907618,-0.002109971485263891,-0.06358329483795709,-0.06362103671534071,-0.03981031009387536,-0.2119940413863459,-0.04805673408083162
