coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,coord12,coord13,coord14,coord15,coord16,coord17,coord18,coord19,coord20,coord21,coord22,coord23
-0.025510499573481817,-2.058179546754345,-9.743328535835929,-0.10429115213627037,-1.2994284066731268,-0.17485984769471064,-6.342109139428821e-09,-0.5767826374252321,-0.5391842379112266,-0.1867741188217933,-0.2111487080178068,-0.12938329239095267,0.0016021201584687085,-0.0001437774228787545,-0.004568345064283862,-0.07494531395760376,-0.02432922213265694,-0.3344680426911285,-0.002966473446918989,-0.01272767381514102,-0.0636499511657332,-0.1771636476948254,-0.010200302013155407,-0.16715712292204732
-0.41308740319758747,-1.57523568899557,-1.2175451560015784,-3.1913586571995105,-3.2406691674877472,-0.9149895009141177,-2.8494255141572795,-0.08152345092787208,-1.6834546450974255e-05,-0.6671565024658221,-0.23460970958478103,-0.2120640278334988,0.017045371415555104,-0.01448314553099693,-0.00937029672498749,-0.058252306971188786,-0.706672090149213,-0.7836595852633107,-0.008163019909112204,-0.09165586559705784,-0.06353808721267165,-0.7469675133218154,-0.01901834189860343,-0.047333608140411994
-0.025509389298875296,-1.9731185418173525,-0.3680037642574973,-0.10421959114079977,-2.511801550389262,-0.3024931848636126,-4.137187052290377e-11,-0.8080712634413829,-0.14275175685452965,-3.856035730340128,-0.155033551013661,-0.004179685085581251,0.0013388380095446656,-0.0017381063032740251,-0.0020123233772411223,-0.0019564588320453553,-1.5074541485619024,-0.44977287166913915,-0.027628850438810023,-4.8469138960764024e-05,-1.3193478328896924e-09,-0.1773176592192135,-0.039748526447907634,-0.08957039740870955
-0.314658379590657,-0.13072534623841114,-0.03594491364028364,-1.8976253394422216,-0.00039852436182119294,-0.11163886223157013,-0.3166724115366994,-0.27024210492516393,-0.6091042495880136,-4.501612524543275,-0.18513416862263732,-0.025430078100209863,0.003203874483163245,-0.03731358318707632,-0.0020831900536113974,-0.03282433404276571,-0.06553422186307603,-0.17980632279847522,-0.014075361749621415,-0.2208364810039269,-0.06352651553273236,-1.1313601902407961,-0.10459394258868175,-0.005803299772302531
-0.10327241738136761,-0.9657612457683703,-5.227074299317284,-0.7976019571661208,-0.07679026679654433,-0.5272640193371876,-0.07912802355259957,-0.5058003238720303,-0.666121000788705,-0.1284126779660867,-0.2832432615976818,-1.9416446602193798,0.06547217935609329,-0.00019782556904401728,-0.07047544809656141,-0.00235759707268463,-0.6843080496521554,-0.06060361619504781,-0.04894980095853633,-0.030073494559461903,-0.14292012732778883,-0.18675323902687177,-0.487149310720364,-0.0036063407294841757
-0.0063778572032048555,-3.7937754061565914e-05,-0.08967770313427308,-0.026097181670357256,-0.06112118211754729,-0.5373039303979579,-1.978806329924778,-0.07973922375753979,-0.26129997729213844,-0.1830908537756136,-0.12531772360910007,-0.005967280519034957,0.020134467928126912,-0.013249543565601686,-0.005880612368687324,-0.03896037926636787,-0.10817222562046264,-0.00323189234004917,-0.09432459339174999,-0.0023462885019234,-0.143036254766772,-0.04434810681065278,-0.03347885430440691,-0.011853475907302244
-0.10573972891907964,-1.7506447441364252,-0.023668280848463837,-1.9264234260063946,-0.08012286768996492,-0.00291853631124935,-0.07919638110920303,-0.004892597447255866,-1.03262133758835,-0.47711839871036943,-0.07588117567497271,-0.04368059495072032,0.0014674506219724932,-0.004008062951902849,-0.002574871998383872,-0.025273214365979332,-0.6608413924711606,-0.021844722562572083,-0.013950975581484065,-0.056027442421937225,-0.015877053585355003,-0.15038047787678063,-0.06404665003332882,-0.15769361078761207
-0.05924053904318571,-0.531437383008719,-2.46532720421888,-0.958396040167559,-4.5012875457852815,-1.1694723115690853,-0.7123598668206851,-0.5405124821692169,-0.040467062248052056,-0.6611791186104038,-0.4242225645920539,-0.8885159941271351,0.022156538942115094,-0.0012375444900386513,-0.07554920952421536,-0.04807487048470326,-0.5922369845122469,-0.3065101312372669,-0.04838130924895806,-0.008932120004555219,-0.015897182799161733,-0.03550571771200989,-0.01153640997694615,-0.04642033425027543
-0.10450449969937722,-0.01900861636972485,-3.7658990972026354,-1.3004833763758168,-0.29504922411066314,-2.192830612171464,-9.532565409251543e-10,-2.8233918566257565,-0.265070060787611,-0.08598463352940741,-0.013708384333306803,-0.3537475727302926,0.032752549031437476,-0.00012759625820995377,-0.005125634369187813,-0.023940177875811552,-0.00018959161772380198,-0.5423317563034779,-0.04617226313437479,-0.14286419185484395,-0.2543199435462773,-0.0004896297841902109,-0.06442367791412953,-0.1638794385293411
-0.10450659847241847,-0.2877032341885954,-7.323657594016573,-1.3008274352609215,-0.0915022887199059,-0.09663529677037666,-0.31653667846629463,-0.20476364877770517,-0.1340695841780841,-0.11190381517517951,-0.5320298410714372,-0.30407130110163566,4.8428982578696675e-05,-0.012342101779051838,-5.586645828604726e-06,-0.17349404726729725,-0.022348603264210277,-0.5815985703285118,-0.006082258520326815,-0.07337176674469877,-0.0635521834733668,-0.0004888339514107784,-0.03721463793517873,-0.04880882367652289
-0.02612799900076483,-0.19576403230671885,-0.16713566586439269,-0.32495689717756104,-1.0420847281206898,-3.544743705703672,-0.7124892164684709,-0.14203722831195856,-2.0285426818816776,-0.27582131748596933,-0.03051467955392154,-2.0543151996416023,7.531058994929067e-05,-0.00039635049179403135,-4.550712190232649e-05,-0.09104877899534587,-0.18898914172172931,-0.004676084221705384,-0.12375425033356634,-0.02398247109524957,-0.01588607790295547,-0.00012039331354190072,-0.23126443890863646,-0.2168838280663022
-0.007003835781239181,-0.5597260601409969,-0.10496266248309624,-0.4306307470865633,-0.5351727868848004,-0.017331797914254123,-0.07916790268574778,-0.24859796611819507,-0.38824113818372985,-0.03537367606882679,-0.9906286245640495,-1.3444276045123298,0.12921508716146876,-0.0016263303545262502,-0.0004871193061445327,-0.007560092212990653,-0.024023920177968013,-0.05814313461815607,-0.018944840845476783,-0.005794805014345193,-0.14289581027303794,-0.37141023209212093,-0.23627242657013775,-0.11579520992888956
